id,body_type
"1","Sedan"
"2","Hatchback"
"3","Estate"
"44","Compact/Mini MPV"
"5","MPV"
"6","Coupe"
"8","Coupe/Cabriolet"
"9","SUV"
"10","Soft Top"
"11","Panel Van"
"12","Window Van"
"13","Pick Up"
"14","Pick Up LWB"
"15","Pick Up Double Cab"
"16","Pick Up LWB Double Cab"
"17","Mini Bus"
"18","Mini Bus LWB"
"19","Mini Bus LWB Wide Semi H/Roof"
"20","Mini Bus SLWB Wide H/Roof"
"21","Van SLWB Wide H/Roof"
"22","Bus"
"23","Convertible"
"24","Hard Top"
"25","Pick Up Single Cab"
"26","Wide Cab"
"27","Regular Cab Steel Deck"
"28","Regular Cab Wood Deck"
"29","Regular Cab Chassis"
"30","Wide Cab Steel Deck"
"31","Wide Cab Wood Deck"
"32","Wide Cab Chassis"
"33","Fuel Tanker"
"34","Regular Cab"
"35","Limousine"
"36","Panel Van High Roof"
"37","Window Van High Roof"
"38","Half Panel Van"
"40","PICK UP EXT CAB"
"41","PICK UP EXT CAB LONG BOX"
"42","PICK UP DOUBLE CAB LONG BOX"
"45","Station Wagon"
"46","Targa"
"47","Pick Up Extended Double Cab"
"48","Pick Up Extended Single Cab"
"49","Open Top"
"50","Pick Up Long Box"
"51","SUV COUPE"
"52","SPORTBACK"
"53","Minivan"
"54","PanelVan Wide Body High Roof"
"55","Mini Bus LWB Wide Body HR"
"56","Mini Bus Semi High Roof"
"57","Mini Bus High Roof"
"58","Panel Van Semi High Roof"
"59","PASSENGER VEHICLE"
"60","CARGO VAN"
"61","CARGO"
"62","SCHOOL BUSS"
"63","VAN"
