make_id,make,model_id,model,spec_id,spec
76,ACURA,871,MDX,2974,STD
1,ADMIRAL,875,PICKUP,2979,STD
3,ALFA ROMEO,7,147,7,PREMIUM
3,ALFA ROMEO,7,147,1083,GTA
3,ALFA ROMEO,7,147,1082,TWIN SPARK
3,ALFA ROMEO,7,147,1749,STD
3,ALFA ROMEO,8,156,1750,STD
3,ALFA ROMEO,8,156,8,TWIN SPARK
3,ALFA ROMEO,8,156,1081,GTA
3,ALFA ROMEO,9,159,2584,TI TOP
3,ALFA ROMEO,9,159,9,STD
3,ALFA ROMEO,9,159,1080,PROGRESSION
3,ALFA ROMEO,9,159,2583,TI
3,ALFA ROMEO,9,159,1079,DISTINCTIVE
3,ALFA ROMEO,9,159,4771,JTS Q4
3,ALFA ROMEO,12,166,12,STD
3,ALFA ROMEO,965,4C,3552,LAUNCH EDITION
3,ALFA ROMEO,965,4C,3551,STD
3,ALFA ROMEO,789,8C COMPETIZIONE COUPE,2726,STD
3,ALFA ROMEO,763,8C SPIDER,2566,STD
3,ALFA ROMEO,10,BRERA,10,STD
3,ALFA ROMEO,1201,GIULIA,5407,S
3,ALFA ROMEO,1201,GIULIA,5030,SUPER
3,ALFA ROMEO,1201,GIULIA,5032,STD
3,ALFA ROMEO,1201,GIULIA,5406,QUADRIFOGLIO
3,ALFA ROMEO,1201,GIULIA,5031,VELOCE
3,ALFA ROMEO,920,GIULIETTA,4435,QV MID
3,ALFA ROMEO,920,GIULIETTA,3250,EXCLUSIVE
3,ALFA ROMEO,920,GIULIETTA,4434,PREMIUM
3,ALFA ROMEO,920,GIULIETTA,3249,DISTINCTIVE
3,ALFA ROMEO,920,GIULIETTA,4436,QV+
3,ALFA ROMEO,920,GIULIETTA,4305,QV
3,ALFA ROMEO,920,GIULIETTA,4302,STD
3,ALFA ROMEO,11,GT,11,STD
3,ALFA ROMEO,958,GTV,3484,STD
3,ALFA ROMEO,14,MITO,1078,STD
3,ALFA ROMEO,14,MITO,3944,TOP
3,ALFA ROMEO,14,MITO,4432,PROGRESSION
3,ALFA ROMEO,14,MITO,4433,DISTINCTIVE
3,ALFA ROMEO,13,SPIDER,1751,STD
3,ALFA ROMEO,13,SPIDER,13,SPORT
3,ALFA ROMEO,1224,STELVIO,5079,FIRST EDITION
2,ASTON MARTIN,1184,DB11,4934,STD
2,ASTON MARTIN,771,DB7,2670,VANTAGE
2,ASTON MARTIN,771,DB7,2671,VANTAGE VOLANTE
2,ASTON MARTIN,1,DB9,1168,VOLANTE
2,ASTON MARTIN,1,DB9,1,STD
2,ASTON MARTIN,6,DBS,4120,VOLANTE
2,ASTON MARTIN,6,DBS,6,STD
2,ASTON MARTIN,6,DBS,5601,SUPERLEGGERA
2,ASTON MARTIN,1193,LAGONDA,4998,STD
2,ASTON MARTIN,883,ONE-77 ,3046,STD
2,ASTON MARTIN,5,RAPIDE,5,STD
2,ASTON MARTIN,940,RAPIDE S,3362,STD
2,ASTON MARTIN,772,V12 VANTAGE,2673,STD
2,ASTON MARTIN,772,V12 VANTAGE,4103,Q BESPOKE EDITION
2,ASTON MARTIN,772,V12 VANTAGE,4119,S
2,ASTON MARTIN,2,VANQUISH,1748,STD
2,ASTON MARTIN,2,VANQUISH,2672,S
2,ASTON MARTIN,2,VANQUISH,4121,VOLANTE
2,ASTON MARTIN,3,VANTAGE,3121,S
2,ASTON MARTIN,3,VANTAGE,3,STD
2,ASTON MARTIN,3,VANTAGE,2879,N420
2,ASTON MARTIN,3,VANTAGE,4297,N430
2,ASTON MARTIN,3,VANTAGE,1169,VOLANTE
2,ASTON MARTIN,878,VIRAGE,2989,STD
2,ASTON MARTIN,878,VIRAGE,4686,VOLANTE
4,AUDI,690,A1,3679,30 TFSI ATTRACTION S-LINE
4,AUDI,690,A1,2149,ATTRACTION
4,AUDI,690,A1,3676,30 TFSI ATTRACTION
4,AUDI,690,A1,3681,40 TFSI AMBITION S-LINE
4,AUDI,690,A1,3678,40 TFSI AMBITION
4,AUDI,690,A1,3189,ATTRACTION S-LINE
4,AUDI,690,A1,3680,30 TFSI AMBITION S-LINE
4,AUDI,690,A1,2150,AMBITION
4,AUDI,690,A1,2645,AMBITION S-LINE
4,AUDI,690,A1,3677,30 TFSI AMBITION
4,AUDI,15,A3,4123,30 TFSI
4,AUDI,15,A3,1669,S-Line
4,AUDI,15,A3,3687,AMBITION 40 TFSI
4,AUDI,15,A3,3684,AMBITION 30 TFSI
4,AUDI,15,A3,1668,STD
4,AUDI,15,A3,3686,AMBITION 30 TFSI S-LINE
4,AUDI,15,A3,3683,ATTRACTION 30 TFSI S-LINE
4,AUDI,15,A3,4124,40 TFSI
4,AUDI,15,A3,4835,35 TFSI
